timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:02:46.287370,0.0,neutral,0.44,"{'angry': 0.05, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.21, 'sad': 0.26, 'surprise': 0.0, 'neutral': 0.44}","[292, 196, 128, 160]"
2025-09-03T18:02:46.373130,0.09,neutral,0.49,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.03, 'sad': 0.3, 'surprise': 0.0, 'neutral': 0.49}","[292, 195, 128, 161]"
2025-09-03T18:02:46.479579,0.19,neutral,0.64,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.02, 'sad': 0.23, 'surprise': 0.0, 'neutral': 0.64}","[290, 198, 127, 156]"
2025-09-03T18:02:46.573004,0.29,neutral,0.78,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.03, 'sad': 0.12, 'surprise': 0.0, 'neutral': 0.78}","[291, 198, 126, 155]"
2025-09-03T18:02:46.661546,0.37,neutral,0.6,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.06, 'happy': 0.06, 'sad': 0.24, 'surprise': 0.0, 'neutral': 0.6}","[292, 194, 131, 160]"
2025-09-03T18:02:46.741924,0.45,neutral,0.59,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.04, 'sad': 0.28, 'surprise': 0.0, 'neutral': 0.59}","[291, 193, 132, 160]"
2025-09-03T18:02:46.818997,0.53,neutral,0.46,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.13, 'sad': 0.28, 'surprise': 0.0, 'neutral': 0.46}","[291, 195, 129, 160]"
2025-09-03T18:02:46.897368,0.61,neutral,0.56,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.1, 'happy': 0.04, 'sad': 0.27, 'surprise': 0.0, 'neutral': 0.56}","[293, 198, 124, 156]"
2025-09-03T18:02:46.975494,0.69,neutral,0.57,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.05, 'sad': 0.26, 'surprise': 0.0, 'neutral': 0.57}","[294, 198, 125, 155]"
2025-09-03T18:02:47.069328,0.78,neutral,0.47,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.13, 'happy': 0.09, 'sad': 0.25, 'surprise': 0.0, 'neutral': 0.47}","[295, 198, 124, 156]"
2025-09-03T18:02:47.163014,0.88,neutral,0.7,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.04, 'sad': 0.2, 'surprise': 0.0, 'neutral': 0.7}","[294, 196, 125, 157]"
2025-09-03T18:02:47.256629,0.97,neutral,0.64,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.02, 'sad': 0.24, 'surprise': 0.0, 'neutral': 0.64}","[294, 198, 122, 154]"
2025-09-03T18:02:47.365514,1.08,neutral,0.47,"{'angry': 0.05, 'disgust': 0.0, 'fear': 0.12, 'happy': 0.11, 'sad': 0.25, 'surprise': 0.0, 'neutral': 0.47}","[301, 197, 127, 157]"
2025-09-03T18:02:47.458695,1.17,neutral,0.5,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.36, 'surprise': 0.0, 'neutral': 0.5}","[302, 197, 126, 156]"
