timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:08:59.715126,0.0,neutral,0.62,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.26, 'sad': 0.05, 'surprise': 0.0, 'neutral': 0.62}","[362, 127, 173, 220]"
2025-09-03T18:08:59.923482,0.21,neutral,0.66,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.23, 'sad': 0.05, 'surprise': 0.01, 'neutral': 0.66}","[367, 135, 166, 202]"
2025-09-03T18:09:00.127272,0.41,neutral,0.72,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.17, 'sad': 0.07, 'surprise': 0.0, 'neutral': 0.72}","[362, 123, 169, 215]"
2025-09-03T18:09:00.299019,0.58,neutral,0.61,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.29, 'sad': 0.03, 'surprise': 0.01, 'neutral': 0.61}","[351, 120, 173, 226]"
2025-09-03T18:09:00.472754,0.76,happy,0.95,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.95, 'sad': 0.0, 'surprise': 0.02, 'neutral': 0.02}","[349, 117, 172, 216]"
2025-09-03T18:09:00.644186,0.93,happy,0.99,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.99, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.01}","[350, 115, 171, 218]"
2025-09-03T18:09:00.831852,1.12,happy,0.98,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.02}","[354, 119, 166, 209]"
2025-09-03T18:09:01.016250,1.3,happy,0.98,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.02}","[355, 118, 164, 209]"
2025-09-03T18:09:01.201222,1.49,happy,0.99,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.99, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}","[349, 115, 170, 211]"
2025-09-03T18:09:01.375613,1.66,happy,1.0,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}","[348, 112, 170, 216]"
2025-09-03T18:09:01.546560,1.83,happy,0.98,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.98, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.01}","[348, 111, 170, 215]"
2025-09-03T18:09:01.718414,2.0,happy,0.51,"{'angry': 0.1, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.24, 'sad': 0.12, 'surprise': 0.01, 'neutral': 0.51}","[347, 116, 170, 223]"
2025-09-03T18:09:01.890556,2.18,happy,0.49,"{'angry': 0.49, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.25, 'sad': 0.08, 'surprise': 0.01, 'neutral': 0.14}","[342, 112, 174, 223]"
2025-09-03T18:09:02.055068,2.34,happy,0.75,"{'angry': 0.75, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.15, 'sad': 0.03, 'surprise': 0.01, 'neutral': 0.05}","[350, 116, 166, 219]"
