timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:01:17.951202,0.0,neutral,0.73,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.14, 'surprise': 0.0, 'neutral': 0.73}","[251, 207, 119, 145]"
2025-09-03T18:01:18.033282,0.08,neutral,0.59,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.12, 'sad': 0.21, 'surprise': 0.0, 'neutral': 0.59}","[252, 204, 120, 149]"
2025-09-03T18:01:18.116614,0.17,neutral,0.59,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.05, 'happy': 0.12, 'sad': 0.21, 'surprise': 0.0, 'neutral': 0.59}","[252, 204, 120, 149]"
2025-09-03T18:01:18.200029,0.25,neutral,0.71,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.16, 'surprise': 0.0, 'neutral': 0.71}","[248, 205, 121, 147]"
2025-09-03T18:01:18.286936,0.34,neutral,0.71,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.08, 'happy': 0.03, 'sad': 0.16, 'surprise': 0.0, 'neutral': 0.71}","[248, 205, 121, 147]"
2025-09-03T18:01:18.366106,0.42,neutral,0.79,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.1, 'surprise': 0.0, 'neutral': 0.79}","[253, 204, 120, 149]"
2025-09-03T18:01:18.443188,0.49,neutral,0.75,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.14, 'surprise': 0.0, 'neutral': 0.75}","[254, 205, 119, 147]"
2025-09-03T18:01:18.535515,0.58,neutral,0.74,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.09, 'happy': 0.02, 'sad': 0.13, 'surprise': 0.0, 'neutral': 0.74}","[252, 206, 119, 146]"
2025-09-03T18:01:18.630796,0.68,neutral,0.74,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.07, 'happy': 0.02, 'sad': 0.14, 'surprise': 0.0, 'neutral': 0.74}","[253, 206, 118, 145]"
2025-09-03T18:01:18.724944,0.77,neutral,0.84,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.04, 'happy': 0.01, 'sad': 0.1, 'surprise': 0.0, 'neutral': 0.84}","[255, 206, 117, 145]"
